Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,37.0,1.0,37.0,37.0,0.1,16.606000000000012,0.0,0.0,0.01615166664123535,,,,,,,,,,,,,,,,,,,,,4.786487105176268,5.455795005855643,16.461807129560473,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,68.0,2.0,31.0,68.0,0.1,13.206999999999994,0.0,0.0,3.376084804534912,,,,,,,,,,,,,,,,,,,,,3.7824873618253547,4.4023835180346955,13.115961699220158,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,88.0,3.0,20.0,88.0,0.1,8.904999999999996,0.0,0.0,5.605217933654785,,,,,,,,,,,,,,,,,,,,,2.7651838166838036,3.1818311886025312,8.867422300845718,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,122.0,4.0,34.0,122.0,0.1,19.606000000000016,0.0,0.0,9.168359518051147,,,,,,,,,,,,,,,,,,,,,6.615754748715712,6.778826201985276,19.419884688035054,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,149.0,5.0,27.0,149.0,0.1,12.605999999999995,0.0,0.0,11.93792200088501,,,,,,,,,,,,,,,,,,,,,3.805888123068875,4.361773895685052,12.528285062517114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,258.0,6.0,109.0,258.0,0.1,61.911000000000016,0.0,0.0,22.611420154571533,,,,,,,,,,,,,,,,,,,,,21.235665148078514,17.839249536346674,59.715684151478264,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,284.0,7.0,26.0,284.0,0.1,9.206999999999994,0.0,0.0,25.289403676986694,,,,,,,,,,,,,,,,,,,,,2.427062732746093,3.06164721211878,9.162211629996968,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,326.0,8.0,42.0,326.0,0.1,21.905000000000012,0.0,0.0,29.6837158203125,,,,,,,,,,,,,,,,,,,,,8.687254557559472,6.840192255042797,21.58328028587397,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,363.0,9.0,37.0,363.0,0.1,15.206999999999992,0.0,0.0,33.43843865394592,,,,,,,,,,,,,,,,,,,,,4.112406303222682,4.940921316930102,15.084995873531955,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,392.0,10.0,29.0,392.0,0.1,16.006000000000004,0.0,0.0,36.51519989967346,,,,,,,,,,,,,,,,,,,,,5.3203618145555716,5.612896034346968,15.883460545007361,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,424.0,11.0,32.0,424.0,0.1,17.106000000000016,0.0,0.0,39.73798084259033,,,,,,,,,,,,,,,,,,,,,5.5367197772741275,5.89006317698314,16.96273347133643,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,453.0,12.0,29.0,453.0,0.1,12.706999999999994,0.0,0.0,42.792551040649414,,,,,,,,,,,,,,,,,,,,,3.6196718947332593,4.336867825007837,12.627271430642592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,501.0,13.0,48.0,501.0,0.1,31.20700000000002,0.0,0.0,47.39288592338562,,,,,,,,,,,,,,,,,,,,,11.149118951879418,10.572026202374431,30.733278113258194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,541.0,14.0,40.0,541.0,0.1,12.80999999999999,0.0,0.0,51.4471321105957,,,,,,,,,,,,,,,,,,,,,3.1058854332193535,3.9351762490256315,12.711174219936886,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
